user_id,account_id,account_uuid,user_email,user_role,user_status,user_created_date,last_login_date,login_count_30d,login_count_90d,feature_usage_score,sessions_count_30d,avg_session_duration_minutes,reports_generated_30d,dashboards_created,dashboards_shared,exports_count_30d,api_key_active,mobile_app_user,browser_type,operating_system,timezone_offset,language_preference,notification_preference,profile_completeness_pct,onboarding_completed,certification_earned,beta_features_enabled
USR43F4D35FAD,ACC000000,,usr43f4d35fad@company0697.com,admin,active,2022-09-01,2024-12-18,23,76,94.69659411317582,21,43.57794969676398,8,5,2,10,False,False,edge,windows,9,en,all,36.334820100269624,True,True,False
USRCEF73119B3,ACC000000,,usrcef73119b3@company0697.com,member,active,2022-08-30,2024-12-27,8,20,92.84939248486529,7,31.238844377904574,13,7,2,5,False,False,edge,windows,11,es,all,89.950443423844,True,False,False
USRD07DC4F7BC,ACC000000,,usrd07dc4f7bc@company0697.com,member,active,2022-10-28,2024-12-22,13,41,84.83808743792643,7,44.80231454337347,13,1,0,8,False,True,firefox,linux,10,fr,all,85.10228335672556,True,False,False
USR9FF5BABEAD,ACC000000,,usr9ff5babead@company0697.com,member,active,2022-09-11,2024-12-11,21,58,62.409839100105366,13,30.623470170325742,9,4,1,4,False,False,safari,ios,9,de,none,99.54825065162518,True,False,False
USR7FEEEFA084,ACC000000,,usr7feeefa084@company0697.com,member,active,2022-09-03,2024-12-18,18,45,105.94807810340455,14,31.185756216067105,7,4,1,4,False,False,edge,windows,-10,fr,none,69.22573409298528,True,False,False
USR194AE85C38,ACC000000,,usr194ae85c38@company0697.com,member,active,2022-08-25,2024-12-15,26,70,104.65515576739651,32,46.97731235194485,7,3,1,7,False,False,safari,windows,11,en,important,80.94049416765601,True,False,False
USR270C3F71A4,ACC000000,,usr270c3f71a4@company0697.com,member,active,2022-09-01,2024-12-29,15,38,68.07436165147307,12,32.629017502209514,6,2,0,9,False,False,chrome,windows,6,es,all,83.07739585905794,True,False,False
USR670E6DC3A1,ACC000000,,usr670e6dc3a1@company0697.com,member,active,2022-09-08,2024-12-22,21,63,105.16428266224406,18,29.83443312726412,13,6,2,4,False,False,safari,macos,-5,de,none,76.83737586289412,True,False,False
USR92CC87B18E,ACC000000,,usr92cc87b18e@company0697.com,member,active,2022-10-19,2024-12-17,10,30,48.8988749811334,8,45.40036042629443,8,6,2,5,False,True,firefox,linux,-5,es,important,95.19950320300813,True,False,False
USRB6039FCF62,ACC000000,,usrb6039fcf62@company0697.com,viewer,active,2022-10-27,2024-12-31,14,40,84.26561527973648,8,38.189433873974025,10,5,2,8,True,False,chrome,android,1,de,important,80.96090124075866,True,False,False
